(1, 0.0216019), (2, 0.0113731), (3, 0.00950468), (4, 0.00737183),
    (5, 0.00613744), (6, 0.00484933), (7, 0.00465093), (8, 0.00405794),
    (9, 0.00601082), (10, 0.00615852), (11, 0.00589929), (12, 0.00678586),
    (13, 0.00628134), (14, 0.00471987), (15, 0.00453389), (16, 0.00472194),
    (17, 0.00516676), (18, 0.00504448), (19, 0.00510884), (20, 0.00491813),
    (21, 0.00483046), (22, 0.00506489), (23, 0.00468136), (24, 0.00490603),
    (25, 0.00496954), (26, 0.00495245), (27, 0.00492265), (28, 0.00507954),
    (29, 0.00489939), (30, 0.00484252), (31, 0.00477003), (32, 0.00663273),
    (33, 0.00631892), (34, 0.00491627), (35, 0.00487201), (36, 0.00512579),
    (37, 0.00524893), (38, 0.00513373), (39, 0.00487917), (40, 0.00507786),
    (41, 0.00503302), (42, 0.00535296), (43, 0.00506297), (44, 0.00494115),
    (45, 0.00527018), (46, 0.00504741), (47, 0.00498152), (48, 0.00509993),
    (49, 0.00514352), (50, 0.00499574), (51, 0.00710379), (52, 0.00630193),
    (53, 0.00497754), (54, 0.005101), (55, 0.00517012), (56, 0.00510324),
    (57, 0.00516751), (58, 0.00515184), (59, 0.00521494), (60, 0.00522348),
    (61, 0.00527073), (62, 0.00514643), (63, 0.00517636), (64, 0.00539374),
    (65, 0.00516881), (66, 0.00530795), (67, 0.00521792), (68, 0.00518435),
    (69, 0.00604722), (70, 0.00598274), (71, 0.0062495), (72, 0.00489182),
    (73, 0.00535231), (74, 0.00523002), (75, 0.00521689), (76, 0.00528495),
    (77, 0.00527649), (78, 0.00542108), (79, 0.00525997), (80, 0.00520267),
    (81, 0.00551262), (82, 0.00541883), (83, 0.00555296), (84, 0.00533343),
    (85, 0.00550062), (86, 0.00535672), (87, 0.00546529), (88, 0.00632593),
    (89, 0.00679557), (90, 0.0051117), (91, 0.00537962), (92, 0.00530047),
    (93, 0.00536654), (94, 0.00514788), (95, 0.00531168), (96, 0.00541418),
    (97, 0.00540296), (98, 0.00537077), (99, 0.00533458), (100, 0.00543685),
    (101, 0.00550062), (102, 0.00539803), (103, 0.00556963), (104, 0.00551027),
    (105, 0.00548807), (106, 0.00697583), (107, 0.00637412), (108, 0.00524286),
    (109, 0.00519018), (110, 0.00545328), (111, 0.00532259), (112, 0.00545394),
    (113, 0.00543353), (114, 0.00535282), (115, 0.00562067), (116, 0.0053963),
    (117, 0.00552698), (118, 0.00557168), (119, 0.00546863), (120, 0.00534023),
    (121, 0.00551778), (122, 0.0055764), (123, 0.00549338), (124, 0.00635154),
    (125, 0.00645991), (126, 0.00536083), (127, 0.00521109), (128, 0.00533951),
    (129, 0.00532865), (130, 0.0054439), (131, 0.00550786), (132, 0.00540808),
    (133, 0.00543126), (134, 0.00554895), (135, 0.00554752), (136, 0.00551231),
    (137, 0.00568575), (138, 0.00562784), (139, 0.00560964), (140, 0.00556457),
    (141, 0.00564001), (142, 0.0068315), (143, 0.00635387), (144, 0.00535054),
    (145, 0.0053454), (146, 0.0054266), (147, 0.00531816), (148, 0.00558368),
    (149, 0.00556553), (150, 0.00555546), (151, 0.00549066), (152, 0.00544003),
    (153, 0.00562638), (154, 0.00555612), (155, 0.00562284), (156, 0.0056267),
    (157, 0.00557938), (158, 0.00560702), (159, 0.00643559), (160, 0.00612392),
    (161, 0.00643862), (162, 0.00534716), (163, 0.0054977), (164, 0.0055624),
    (165, 0.00554183), (166, 0.00555756), (167, 0.00564135), (168, 0.00542653),
    (169, 0.00557073), (170, 0.00569008), (171, 0.00571126), (172, 0.0056363),
    (173, 0.00575723), (174, 0.00560712), (175, 0.00569279), (176, 0.00571088),
    (177, 0.00703792), (178, 0.00644404), (179, 0.00531148), (180, 0.0054776),
    (181, 0.00541463), (182, 0.00549514), (183, 0.00559713), (184, 0.00563214),
    (185, 0.00566119), (186, 0.0056102), (187, 0.00561724), (188, 0.00560468),
    (189, 0.0056873), (190, 0.00578429), (191, 0.00576975), (192, 0.00575319),
    (193, 0.0057048), (194, 0.00661886), (195, 0.00655189), (196, 0.00614448),
    (197, 0.00543754), (198, 0.00558763), (199, 0.00562503), (200, 0.00550927),
    (201, 0.00565557), (202, 0.00568022), (203, 0.00569302), (204, 0.00578383),
    (205, 0.00570984), (206, 0.00571095), (207, 0.00578556), (208, 0.00561723),
    (209, 0.00580585), (210, 0.00582934), (211, 0.00621476), (212, 0.00628248),
    (213, 0.00645041), (214, 0.00546053), (215, 0.00556301), (216, 0.00568068),
    (217, 0.00567587), (218, 0.00581003), (219, 0.00579804), (220, 0.00574206),
    (221, 0.00588459), (222, 0.00577702), (223, 0.00586166), (224, 0.00584722),
    (225, 0.00579813), (226, 0.00591558), (227, 0.0058298), (228, 0.00610538),
    (229, 0.00730709), (230, 0.00632743), (231, 0.00553004), (232, 0.00563395),
    (233, 0.00580592), (234, 0.00572373), (235, 0.00588284), (236, 0.00582602),
    (237, 0.00590601), (238, 0.0058167), (239, 0.00583592), (240, 0.00593256),
    (241, 0.00596484), (242, 0.00595656), (243, 0.00596152), (244, 0.00601204),
    (245, 0.00683095), (246, 0.00661275), (247, 0.00636942), (248, 0.00563283),
    (249, 0.00585141), (250, 0.00582952), (251, 0.00579932), (252, 0.00589943),
    (253, 0.00591336), (254, 0.00605057), (255, 0.00590859), (256, 0.00602227),
